Deimon Devil Bats, DEI
QB,Yoichi Hiruma,21,2016,99,99,99,99,99,99,99,0.5,5
S,Yoichi Hiruma,21,2016,99,99,99,99,99,99,99,0.5,5
QB,Sena Kobayakawa,21,2016,70,60,60,60,60,60,0.5,5
RB,Sena Kobayakawa,21,2016,99,99,99,99,99,99,0.5,5
CB,Sena Kobayakawa,21,2016,99,99,99,99,99,99,0.5,5
OL,Ryokan Kurita,21,2016,99,99,99,99,99,99,99,0.5,5
DL,Ryokan Kurita,21,2016,99,99,99,99,99,99,99,0.5,5
WR,Taro Raimon,21,2016,99,99,99,99,99,99,0.5,5
CB,Taro Raimon,21,2016,99,99,99,99,99,99,0.5,5
OL,Kazuki Jumonji,21,2016,99,90,90,90,90,90,0.5,5
DL,Kazuki Jumonji,21,2016,99,90,90,90,90,90,0.5,5
OL,Koji Kuroki,21,2016,99,80,80,80,90,90,0.5,5
DL,Koji Kuroki,21,2016,99,80,80,80,90,90,0.5,5
OL,Shozo Togano,21,2016,99,80,80,90,90,90,0.5,5
DL,Shozo Togano,21,2016,99,80,80,90,90,90,0.5,5
OL,Daikichi Komusubi,21,2016,99,80,80,90,90,90,0.5,5
DL,Daikichi Komusubi,21,2016,99,80,80,90,90,90,0.5,5
WR,Manabu Yukimitsu,21,2016,99,80,80,80,80,80,0.5,5
RB,Tetsuo Ishimaru,21,2016,99,90,90,90,90,90,0.5,5
CB,Tetsuo Ishimaru,21,2016,90,90,90,90,90,90,0.5,5
K,Gen Takekura,21,2016,99,99,99,99,99,99,0.5,5
LB,Gen Takekura,21,2016,99,99,99,99,99,99,0.5,5
WR,Natsuhiko Taki,21,2016,99,90,90,90,90,90,0.5,5
LB,Natsuhiko Taki,21,2016,99,90,90,90,90,90,0.5,5
LB,Yohei Satake,21,60,70,70,70,70,70,0.5,5
OL,Akira Nakabo,21,99,70,70,70,70,70,0.5,5
RB,Reserve,21,2016,85,60,60,60,60,60,0.5,5
WR,Reserve,21,2016,85,60,60,60,60,60,0.5,5
OL,Reserve,21,2016,85,60,60,60,60,60,0.5,5
K,Reserve,21,2016,85,70,60,60,60,60,0.5,5
S,Reserve,21,2016,85,60,60,60,60,60,0.5,5
CB,Reserve,21,2016,85,60,60,60,60,60,0.5,5
DL,Reserve,21,2016,85,60,60,60,60,60,0.5,5
LB,Reserve,21,2016,85,60,60,60,60,60,0.5,5
RB,Reserve,21,2016,85,60,60,60,60,60,0.5,5
WR,Reserve,21,2016,85,60,60,60,60,60,0.5,5
OL,Reserve,21,2016,85,60,60,60,60,60,0.5,5
K,Reserve,21,2016,85,70,60,60,60,60,0.5,5
S,Reserve,21,2016,85,60,60,60,60,60,0.5,5
CB,Reserve,21,2016,85,60,60,60,60,60,0.5,5
DL,Reserve,21,2016,85,60,60,60,60,60,0.5,5
LB,Reserve,21,2016,85,60,60,60,60,60,0.5,5
RB,Reserve,21,2016,85,60,60,60,60,60,0.5,5
